%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2020 172 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 100.00 18.70 101.70 40.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 172 0 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 100.00 18.60 101.60 40.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 172 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 100.00 18.40 101.60 40.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 172 1 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 100.00 18.30 101.60 40.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 172 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 100.00 18.20 101.60 41.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 172 2 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 100.00 18.20 101.60 41.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 172 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 100.00 18.20 101.60 41.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 172 3 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 100.00 18.20 101.60 41.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 172 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 100.00 18.30 101.60 42.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 172 4 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 96.13 19.00 101.60 42.00 7.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 7.00 24.00 -999.00
2020 172 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.90000 96.33 19.60 101.70 43.00 47.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 32.00 163.00 -999.00
2020 172 5 30 -999.00 -999.00 -999.00 -999.00 -999.00 0.90000 92.26 20.30 101.70 43.00 114.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 58.00 313.00 -999.00
2020 172 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 90.94 20.90 101.70 44.00 168.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 88.00 299.00 -999.00
2020 172 6 30 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 85.04 22.00 101.70 44.00 271.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 476.00 -999.00
2020 172 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.70000 80.19 23.00 101.70 45.00 337.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 140.00 440.00 -999.00
2020 172 7 30 -999.00 -999.00 -999.00 -999.00 -999.00 0.70000 77.35 23.60 101.70 45.00 365.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 205.00 300.00 -999.00
2020 172 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.60000 72.90 24.20 101.70 45.00 437.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 253.00 300.00 -999.00
2020 172 8 30 -999.00 -999.00 -999.00 -999.00 -999.00 0.70000 71.18 24.60 101.70 45.00 506.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 292.00 311.00 -999.00
2020 172 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.70000 69.83 24.90 101.60 46.00 608.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 290.00 420.00 -999.00
2020 172 9 30 -999.00 -999.00 -999.00 -999.00 -999.00 0.70000 69.01 25.10 101.60 46.00 644.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 342.00 371.00 -999.00
2020 172 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 68.72 25.30 101.60 45.00 748.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 276.00 546.00 -999.00
2020 172 10 30 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 67.91 25.50 101.60 45.00 850.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 205.00 713.00 -999.00
2020 172 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.90000 67.49 25.80 101.60 45.00 877.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 202.00 724.00 -999.00
2020 172 11 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 66.70 26.00 101.60 45.00 809.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 341.00 493.00 -999.00
2020 172 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 66.97 26.10 101.60 45.00 837.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 322.00 540.00 -999.00
2020 172 12 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 66.97 26.10 101.60 44.00 761.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 424.00 356.00 -999.00
2020 172 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.30000 67.50 26.10 101.60 44.00 704.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 441.00 283.00 -999.00
2020 172 13 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.40000 67.43 26.10 101.50 44.00 704.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 404.00 334.00 -999.00
2020 172 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.40000 67.97 26.10 101.50 43.00 705.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 345.00 420.00 -999.00
2020 172 14 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.50000 68.37 26.00 101.50 43.00 747.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 168.00 717.00 -999.00
2020 172 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.50000 69.34 25.90 101.50 43.00 535.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 196.00 454.00 -999.00
2020 172 15 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.50000 69.75 25.80 101.50 42.00 497.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 204.00 433.00 -999.00
2020 172 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.60000 71.53 25.60 101.50 42.00 439.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 233.00 342.00 -999.00
2020 172 16 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.60000 73.25 25.20 101.50 42.00 329.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 214.00 222.00 -999.00
2020 172 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.60000 76.44 24.90 101.40 41.00 164.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 127.00 86.00 -999.00
2020 172 17 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.50000 79.77 24.20 101.50 41.00 19.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 19.00 0.00 -999.00
2020 172 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.40000 85.28 23.60 101.50 41.00 40.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 40.00 0.00 -999.00
2020 172 18 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.40000 85.28 23.60 101.50 41.00 22.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 22.00 0.00 -999.00
2020 172 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.30000 92.20 22.10 101.50 40.00 15.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 15.00 5.00 -999.00
2020 172 19 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.30000 93.89 21.80 101.50 40.00 2.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 2.00 4.00 -999.00
2020 172 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.30000 95.06 21.50 101.50 39.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 172 20 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.30000 96.81 21.20 101.50 39.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 172 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 97.86 20.90 101.50 39.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 172 21 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 99.68 20.60 101.50 38.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 172 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 100.00 20.30 101.50 38.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 172 22 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 100.00 20.00 101.50 38.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 172 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.90000 100.00 19.80 101.50 38.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 172 23 30 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 100.00 19.60 101.50 38.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 173 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 100.00 19.30 101.50 39.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 173 0 30 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 100.00 19.20 101.50 39.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 173 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 100.00 19.00 101.50 40.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 173 1 30 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 100.00 18.90 101.50 40.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 173 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 100.00 18.80 101.50 41.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 173 2 30 -999.00 -999.00 -999.00 -999.00 -999.00 0.90000 100.00 18.80 101.50 41.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 173 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.90000 100.00 18.70 101.50 42.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 173 3 30 -999.00 -999.00 -999.00 -999.00 -999.00 0.90000 100.00 18.70 101.50 42.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 173 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.90000 100.00 18.70 101.50 42.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 173 4 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 97.51 19.40 101.50 43.00 7.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 7.00 42.00 -999.00
2020 173 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 96.55 20.20 101.50 43.00 50.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 30.00 228.00 -999.00
2020 173 5 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 93.05 20.80 101.50 43.00 119.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 48.00 404.00 -999.00
2020 173 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 91.76 21.50 101.50 43.00 198.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 64.00 500.00 -999.00
2020 173 6 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 87.40 22.30 101.50 43.00 243.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 117.00 351.00 -999.00
2020 173 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 83.24 23.10 101.50 43.00 364.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 106.00 579.00 -999.00
2020 173 7 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 78.86 24.00 101.50 43.00 475.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 90.00 724.00 -999.00
2020 173 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 73.12 24.90 101.50 43.00 563.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 97.00 760.00 -999.00
2020 173 8 30 -999.00 -999.00 -999.00 -999.00 -999.00 0.90000 70.57 25.50 101.50 43.00 637.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 115.00 759.00 -999.00
2020 173 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.90000 67.09 26.20 101.50 43.00 635.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 245.00 516.00 -999.00
2020 173 9 30 -999.00 -999.00 -999.00 -999.00 -999.00 0.90000 65.54 26.60 101.50 43.00 742.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 191.00 676.00 -999.00
2020 173 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 63.61 27.00 101.50 43.00 824.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 166.00 761.00 -999.00
2020 173 10 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 63.24 27.10 101.50 44.00 856.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 204.00 721.00 -999.00
2020 173 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 62.31 27.30 101.40 44.00 904.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 161.00 797.00 -999.00
2020 173 11 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 62.31 27.30 101.40 44.00 923.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 163.00 801.00 -999.00
2020 173 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 62.52 27.30 101.40 45.00 928.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 164.00 800.00 -999.00
2020 173 12 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 62.52 27.30 101.40 45.00 924.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 158.00 808.00 -999.00
2020 173 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 63.41 27.20 101.40 45.00 849.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 259.00 635.00 -999.00
2020 173 13 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 63.41 27.20 101.40 45.00 730.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 353.00 419.00 -999.00
2020 173 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 64.36 27.10 101.30 45.00 701.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 302.00 465.00 -999.00
