%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2020 266 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.60000 69.99 9.50 102.40 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 0 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.60000 71.41 9.20 102.40 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.50000 73.84 9.00 102.40 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 1 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.50000 74.26 8.90 102.30 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.50000 74.60 8.90 102.30 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 2 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.50000 75.54 8.70 102.20 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.50000 76.74 8.40 102.20 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 3 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.60000 77.79 8.20 102.20 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.70000 78.24 7.90 102.20 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 4 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 79.23 7.70 102.10 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 79.35 7.50 102.10 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 5 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.00000 77.22 7.90 102.10 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 75.31 8.20 102.10 8.00 25.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 18.00 161.00 -999.00
2020 266 6 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 69.00 9.50 102.10 8.00 100.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 42.00 417.00 -999.00
2020 266 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 63.79 10.70 102.00 8.00 194.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 59.00 576.00 -999.00
2020 266 7 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 56.66 12.50 102.00 8.00 293.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 71.00 681.00 -999.00
2020 266 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.60000 50.79 14.30 102.00 8.00 391.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 80.00 756.00 -999.00
2020 266 8 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.70000 46.38 15.70 101.90 8.00 483.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 87.00 807.00 -999.00
2020 266 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.80000 40.66 17.20 101.90 8.00 568.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 846.00 -999.00
2020 266 9 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.70000 38.39 18.10 101.80 8.00 641.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 98.00 872.00 -999.00
2020 266 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.70000 34.75 19.00 101.70 8.00 702.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 102.00 890.00 -999.00
2020 266 10 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.60000 33.48 19.60 101.70 8.00 750.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 105.00 904.00 -999.00
2020 266 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 30.90 20.30 101.60 9.00 782.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 107.00 912.00 -999.00
2020 266 11 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 29.76 20.90 101.50 9.00 797.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 108.00 913.00 -999.00
2020 266 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 28.53 21.40 101.50 9.00 798.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 108.00 913.00 -999.00
2020 266 12 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 27.82 21.80 101.40 9.00 784.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 108.00 908.00 -999.00
2020 266 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 27.63 22.10 101.30 9.00 753.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 108.00 896.00 -999.00
2020 266 13 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 27.30 22.30 101.30 10.00 706.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 106.00 878.00 -999.00
2020 266 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 27.72 22.50 101.20 10.00 648.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 104.00 857.00 -999.00
2020 266 14 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 27.88 22.40 101.20 11.00 574.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 102.00 820.00 -999.00
2020 266 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.60000 29.42 22.30 101.10 11.00 490.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 99.00 772.00 -999.00
2020 266 15 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 30.14 21.90 101.10 12.00 397.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 95.00 703.00 -999.00
2020 266 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 33.47 21.50 101.10 12.00 299.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 89.00 610.00 -999.00
2020 266 16 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 35.99 20.30 101.00 13.00 200.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 76.00 491.00 -999.00
2020 266 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 41.97 19.10 101.00 14.00 108.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 56.00 330.00 -999.00
2020 266 17 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 44.71 18.10 101.10 14.00 32.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 24.00 136.00 -999.00
2020 266 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 47.53 17.10 101.10 15.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 18 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 47.53 17.10 101.10 15.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 51.36 16.20 101.10 15.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 19 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 52.68 15.80 101.10 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 55.58 15.40 101.10 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 20 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 56.66 15.10 101.10 17.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 59.08 14.80 101.10 17.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 21 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 60.23 14.50 101.10 18.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 62.91 14.20 101.10 18.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 22 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 63.72 14.00 101.10 19.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.00000 66.43 13.70 101.00 19.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 266 23 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.00000 67.36 13.50 101.10 19.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 69.93 13.20 101.10 20.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 0 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 70.85 13.00 101.10 19.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 73.46 12.70 101.10 19.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 1 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 74.36 12.50 101.00 18.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 77.00 12.20 101.00 17.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 2 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 77.51 12.10 101.00 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 79.57 11.90 101.00 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 3 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 80.10 11.80 101.00 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 82.37 11.60 101.00 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 4 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 82.46 11.60 101.10 17.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 84.19 11.60 101.10 17.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 5 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 82.00 12.00 101.10 18.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
