%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2020 80 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.50000 96.43 6.90 101.90 36.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 0 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.70000 96.43 6.90 101.90 37.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 96.78 6.90 101.80 38.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 1 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.00000 96.03 7.00 101.70 38.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 97.09 7.00 101.70 39.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 2 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 96.34 7.10 101.60 39.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 97.24 7.20 101.60 40.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 3 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 97.15 7.20 101.50 39.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 98.28 7.20 101.50 39.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 4 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 97.52 7.30 101.40 38.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 98.13 7.30 101.40 37.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 5 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 97.46 7.40 101.40 36.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 97.70 7.60 101.40 36.00 1.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 1.00 0.00 -999.00
2020 80 6 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 95.08 8.00 101.40 36.00 7.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 7.00 0.00 -999.00
2020 80 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 96.64 8.40 101.30 37.00 51.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 30.00 110.00 -999.00
2020 80 7 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 92.18 9.10 101.30 37.00 83.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 51.00 115.00 -999.00
2020 80 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.70000 95.83 9.70 101.30 37.00 81.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 80.00 2.00 -999.00
2020 80 8 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 88.47 10.90 101.30 37.00 98.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 98.00 1.00 -999.00
2020 80 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.00000 93.24 12.10 101.30 38.00 140.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 137.00 6.00 -999.00
2020 80 9 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 86.68 13.20 101.20 39.00 133.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 131.00 4.00 -999.00
2020 80 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 90.93 14.30 101.20 39.00 99.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 98.00 1.00 -999.00
2020 80 10 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 86.29 15.10 101.10 39.00 198.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 191.00 10.00 -999.00
2020 80 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.60000 88.78 15.90 101.10 38.00 228.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 219.00 12.00 -999.00
2020 80 11 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.80000 84.83 16.60 101.00 38.00 238.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 227.00 15.00 -999.00
2020 80 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.00000 87.65 17.20 101.00 37.00 359.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 321.00 50.00 -999.00
2020 80 12 30 -999.00 -999.00 -999.00 -999.00 -999.00 3.10000 85.92 17.50 100.90 37.00 185.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 177.00 11.00 -999.00
2020 80 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.30000 87.75 17.70 100.80 36.00 194.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 187.00 10.00 -999.00
2020 80 13 30 -999.00 -999.00 -999.00 -999.00 -999.00 3.30000 86.57 17.90 100.70 36.00 355.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 301.00 76.00 -999.00
2020 80 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 85.32 18.20 100.60 35.00 435.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 287.00 223.00 -999.00
2020 80 14 30 -999.00 -999.00 -999.00 -999.00 -999.00 3.50000 85.32 18.20 100.60 35.00 529.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 181.00 571.00 -999.00
2020 80 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.50000 84.56 18.20 100.70 35.00 515.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 97.00 765.00 -999.00
2020 80 15 30 -999.00 -999.00 -999.00 -999.00 -999.00 3.50000 85.09 18.10 100.70 34.00 425.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 702.00 -999.00
2020 80 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 86.07 18.00 100.70 33.00 96.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 65.00 78.00 -999.00
2020 80 16 30 -999.00 -999.00 -999.00 -999.00 -999.00 3.20000 87.24 17.80 100.80 32.00 142.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 46.00 316.00 -999.00
2020 80 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.00000 89.31 17.60 100.80 31.00 120.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 66.00 258.00 -999.00
2020 80 17 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.80000 91.01 17.30 100.80 30.00 33.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 32.00 10.00 -999.00
2020 80 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.60000 91.29 17.10 100.80 29.00 7.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 7.00 0.00 -999.00
2020 80 18 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.60000 91.29 17.10 100.80 29.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 91.23 16.80 100.90 27.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 19 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 92.98 16.50 100.90 27.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 90.81 16.30 101.00 26.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 20 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 92.56 16.00 101.00 27.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 90.42 15.70 101.10 27.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 21 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 93.36 15.20 101.10 27.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 89.02 14.70 101.20 27.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 22 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.80000 95.57 13.60 101.20 25.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.30000 83.81 12.60 101.30 24.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
