%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2019 355 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 89.14 -7.60 103.50 4.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2019 355 0 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 89.83 -7.70 103.50 4.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2019 355 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 89.58 -7.70 103.60 4.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2019 355 1 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 90.28 -7.80 103.60 4.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2019 355 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 90.48 -7.90 103.60 4.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2019 355 2 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 91.18 -8.00 103.60 5.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2019 355 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 90.75 -8.00 103.60 5.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2019 355 3 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.00000 90.66 -8.00 103.50 5.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2019 355 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.00000 91.10 -8.00 103.50 5.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2019 355 4 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 89.69 -7.80 103.50 5.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2019 355 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 90.20 -7.70 103.50 5.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
