%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2020 1 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 89.05 1.50 100.20 9.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 1 0 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 91.08 1.20 100.30 9.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 1 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 90.66 0.90 100.30 9.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 1 1 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 91.98 0.70 100.30 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 1 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 91.08 0.50 100.30 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 1 2 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 92.40 0.30 100.30 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 1 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 92.03 0.10 100.30 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 1 3 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 92.69 0.00 100.30 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 1 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 90.94 0.00 100.30 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 1 4 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.60000 90.94 0.00 100.30 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 1 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.60000 88.32 0.10 100.30 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 1 5 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.70000 88.41 0.10 100.40 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 1 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.70000 86.32 0.20 100.40 7.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 1 6 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.70000 86.95 0.10 100.40 7.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 1 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.80000 85.42 0.10 100.40 7.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 1 7 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.90000 83.07 0.50 100.50 7.00 5.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 5.00 0.00 -999.00
